conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total,model,ablation_type,param_value
T0/test/3,T0,0,20.343761444091797,13.446764945983887,20.293136596679688,21.39252281188965,20.348285675048828,43.33806954986313,llama-7b,layer_count,3
T0/test/4,T0,0,20.46809196472168,13.567893981933594,20.408390045166016,21.51013946533203,20.462913513183594,43.59988359253946,llama-7b,layer_count,3
T0/test/5,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434951782226562,21.392902374267578,45.71033080386588,llama-7b,layer_count,3
T0/test/6,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434953689575195,21.392902374267578,45.710331740006026,llama-7b,layer_count,3
T0/test/7,T0,0,20.46919822692871,13.575677871704102,20.401765823364258,21.514795303344727,20.46634292602539,43.603632465099345,llama-7b,layer_count,3
T0/test/8,T0,0,20.839025497436523,13.987271308898926,20.762989044189453,21.868131637573242,20.82497787475586,44.41739908192499,llama-7b,layer_count,3
T0/test/9,T0,0,20.31776237487793,13.411696434020996,20.25235939025879,21.352882385253906,20.306156158447266,43.256545101548184,llama-7b,layer_count,3
T1/test/0,T1,0,18.855243682861328,11.822185516357422,18.786441802978516,19.947525024414062,18.822675704956055,40.005144114645056,llama-7b,layer_count,3
T1/test/1,T1,0,19.236568450927734,12.31333065032959,19.161497116088867,20.319686889648438,19.2036075592041,40.87168785091616,llama-7b,layer_count,3
T1/test/10,T1,0,20.823009490966797,14.091096878051758,20.74932289123535,21.869991302490234,20.791982650756836,44.421776169494265,llama-7b,layer_count,3
T1/test/11,T1,0,18.156461715698242,10.975709915161133,18.069910049438477,19.266809463500977,18.128637313842773,38.42528330578557,llama-7b,layer_count,3
T1/test/12,T1,0,18.855243682861328,11.822185516357422,18.786441802978516,19.947525024414062,18.822675704956055,40.005144114645056,llama-7b,layer_count,3
T1/test/13,T1,0,20.490108489990234,13.73991584777832,20.42462158203125,21.546566009521484,20.460403442382812,43.68841512383476,llama-7b,layer_count,3
T1/test/14,T1,0,18.855243682861328,11.822185516357422,18.786441802978516,19.947525024414062,18.822675704956055,40.005144114645056,llama-7b,layer_count,3
T1/test/15,T1,0,18.855243682861328,11.822186470031738,18.786441802978516,19.947525024414062,18.822675704956055,40.00514439647169,llama-7b,layer_count,3
T1/test/16,T1,0,20.823009490966797,14.091096878051758,20.74932289123535,21.869993209838867,20.79198455810547,44.421778001281886,llama-7b,layer_count,3
T1/test/17,T1,0,18.156461715698242,10.975709915161133,18.069910049438477,19.266809463500977,18.128637313842773,38.42528330578557,llama-7b,layer_count,3
T1/test/18,T1,0,19.236568450927734,12.31333065032959,19.161497116088867,20.31968879699707,19.2036075592041,40.87168879916984,llama-7b,layer_count,3
T1/test/19,T1,0,19.163158416748047,12.24375057220459,19.092880249023438,20.26245880126953,19.137832641601562,40.72466107500941,llama-7b,layer_count,3
T1/test/2,T1,0,19.236568450927734,12.31333065032959,19.161497116088867,20.319686889648438,19.2036075592041,40.87168785091616,llama-7b,layer_count,3
T1/test/20,T1,0,20.823009490966797,14.091096878051758,20.74932289123535,21.869991302490234,20.791982650756836,44.421776169494265,llama-7b,layer_count,3
T1/test/21,T1,0,20.490108489990234,13.739914894104004,20.424619674682617,21.546566009521484,20.460403442382812,43.688413932208164,llama-7b,layer_count,3
T1/test/22,T1,0,18.156461715698242,10.975709915161133,18.069910049438477,19.266809463500977,18.128637313842773,38.42528330578557,llama-7b,layer_count,3
T1/test/23,T1,0,19.236568450927734,12.31333065032959,19.161497116088867,20.319686889648438,19.2036075592041,40.87168785091616,llama-7b,layer_count,3
T1/test/24,T1,0,19.236568450927734,12.31333065032959,19.161497116088867,20.319686889648438,19.2036075592041,40.87168785091616,llama-7b,layer_count,3
T1/test/25,T1,0,19.163158416748047,12.24375057220459,19.092880249023438,20.26245880126953,19.137832641601562,40.72466107500941,llama-7b,layer_count,3
T1/test/26,T1,0,20.823009490966797,14.091096878051758,20.74932289123535,21.869991302490234,20.79198455810547,44.42177706224472,llama-7b,layer_count,3
T1/test/27,T1,0,18.855243682861328,11.822185516357422,18.786441802978516,19.947525024414062,18.822675704956055,40.005144114645056,llama-7b,layer_count,3
T1/test/28,T1,0,18.855243682861328,11.822185516357422,18.786441802978516,19.947525024414062,18.822675704956055,40.005144114645056,llama-7b,layer_count,3
T1/test/29,T1,0,20.490108489990234,13.739914894104004,20.424619674682617,21.546566009521484,20.460403442382812,43.688413932208164,llama-7b,layer_count,3
T1/test/3,T1,0,19.163158416748047,12.24375057220459,19.092880249023438,20.26245880126953,19.137832641601562,40.72466107500941,llama-7b,layer_count,3
T1/test/4,T1,0,20.823009490966797,14.091096878051758,20.74932289123535,21.869993209838867,20.79198455810547,44.421778001281886,llama-7b,layer_count,3
T1/test/5,T1,0,18.855243682861328,11.822185516357422,18.786441802978516,19.947525024414062,18.822675704956055,40.005144114645056,llama-7b,layer_count,3
