conversation_id,scenario,layer,cka,baseline
T0/test/6,T0,31,0.10644735,cka
T0/test/7,T0,0,0.5600076,cka
T0/test/7,T0,1,0.7397373,cka
T0/test/7,T0,2,0.6461192,cka
T0/test/7,T0,3,0.59670603,cka
T0/test/7,T0,4,0.47031623,cka
T0/test/7,T0,5,0.3799021,cka
T0/test/7,T0,6,0.3431718,cka
T0/test/7,T0,7,0.34176147,cka
T0/test/7,T0,8,0.3289139,cka
T0/test/7,T0,9,0.26354793,cka
T0/test/7,T0,10,0.2334858,cka
T0/test/7,T0,11,0.21619493,cka
T0/test/7,T0,12,0.2436401,cka
T0/test/7,T0,13,0.21457861,cka
T0/test/7,T0,14,0.15896375,cka
T0/test/7,T0,15,0.13776428,cka
T0/test/7,T0,16,0.10466927,cka
T0/test/7,T0,17,0.10559683,cka
T0/test/7,T0,18,0.0931318,cka
T0/test/7,T0,19,0.08955675,cka
T0/test/7,T0,20,0.081391364,cka
T0/test/7,T0,21,0.08155416,cka
T0/test/7,T0,22,0.07965182,cka
T0/test/7,T0,23,0.06886658,cka
T0/test/7,T0,24,0.07446305,cka
T0/test/7,T0,25,0.07683358,cka
T0/test/7,T0,26,0.065464206,cka
T0/test/7,T0,27,0.054553658,cka
T0/test/7,T0,28,0.05035666,cka
T0/test/7,T0,29,0.048573397,cka
T0/test/7,T0,30,0.044048034,cka
T0/test/7,T0,31,0.044185635,cka
T0/test/8,T0,0,0.64962554,cka
T0/test/8,T0,1,0.7491501,cka
T0/test/8,T0,2,0.6005655,cka
T0/test/8,T0,3,0.565475,cka
T0/test/8,T0,4,0.39584246,cka
T0/test/8,T0,5,0.31797156,cka
T0/test/8,T0,6,0.323752,cka
T0/test/8,T0,7,0.3210035,cka
T0/test/8,T0,8,0.29481095,cka
T0/test/8,T0,9,0.2668385,cka
T0/test/8,T0,10,0.27224493,cka
T0/test/8,T0,11,0.27721554,cka
T0/test/8,T0,12,0.29776475,cka
T0/test/8,T0,13,0.2617769,cka
T0/test/8,T0,14,0.22264695,cka
T0/test/8,T0,15,0.2039018,cka
T0/test/8,T0,16,0.19478805,cka
T0/test/8,T0,17,0.20817079,cka
T0/test/8,T0,18,0.1890564,cka
T0/test/8,T0,19,0.16040157,cka
T0/test/8,T0,20,0.15639366,cka
T0/test/8,T0,21,0.16407672,cka
T0/test/8,T0,22,0.14480188,cka
