conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total,model,ablation_type,param_value
T4/test/11,T4,0,4.431197166442871,1.3452585935592651,5.627895355224609,3.8817403316497803,2.92822265625,8.761325873846234,gpt2,layer_count,3
T4/test/12,T4,0,5.777469635009766,2.352508068084717,6.751140594482422,4.26646614074707,3.8321664333343506,10.834185794200122,gpt2,layer_count,3
T4/test/13,T4,0,6.717336177825928,4.733720779418945,8.414783477783203,5.234398365020752,5.304727554321289,13.924020949090545,gpt2,layer_count,3
T4/test/14,T4,0,5.777469635009766,2.352508068084717,6.751140594482422,4.26646614074707,3.8321664333343506,10.834185794200122,gpt2,layer_count,3
T4/test/15,T4,0,5.777469635009766,2.352508068084717,6.751140594482422,4.26646614074707,3.8321664333343506,10.834185794200122,gpt2,layer_count,3
T4/test/16,T4,0,6.273745536804199,3.922405481338501,8.003694534301758,5.105149269104004,4.85352897644043,12.977810547391913,gpt2,layer_count,3
T4/test/17,T4,0,4.431197166442871,1.3452585935592651,5.627895832061768,3.8817403316497803,2.92822265625,8.761326180145728,gpt2,layer_count,3
T4/test/18,T4,0,5.752109050750732,3.2225468158721924,7.299251079559326,4.627082347869873,4.497480392456055,11.763836694257538,gpt2,layer_count,3
T4/test/19,T4,0,7.892695903778076,5.696913242340088,9.45045280456543,6.026832103729248,6.558206081390381,16.229396154635914,gpt2,layer_count,3
T4/test/2,T4,0,5.752109050750732,3.2225468158721924,7.299251079559326,4.627082347869873,4.497480392456055,11.763836694257538,gpt2,layer_count,3
T4/test/20,T4,0,6.273745536804199,3.922405481338501,8.003694534301758,5.105149269104004,4.85352897644043,12.977810547391913,gpt2,layer_count,3
T4/test/21,T4,0,6.717336177825928,4.733720779418945,8.414783477783203,5.234398365020752,5.304727554321289,13.924020949090545,gpt2,layer_count,3
T4/test/22,T4,0,4.431197166442871,1.3452585935592651,5.627895355224609,3.8817403316497803,2.92822265625,8.761325873846234,gpt2,layer_count,3
T4/test/23,T4,0,5.752109050750732,3.2225468158721924,7.299251079559326,4.627082347869873,4.497480392456055,11.763836694257538,gpt2,layer_count,3
T4/test/24,T4,0,5.752109050750732,3.2225468158721924,7.299251079559326,4.627082347869873,4.497480392456055,11.763836694257538,gpt2,layer_count,3
T4/test/25,T4,0,7.892695903778076,5.696913242340088,9.45045280456543,6.026832103729248,6.558206081390381,16.229396154635914,gpt2,layer_count,3
T4/test/26,T4,0,6.273745536804199,3.922405481338501,8.003694534301758,5.105149269104004,4.85352897644043,12.977810547391913,gpt2,layer_count,3
T4/test/27,T4,0,5.777469635009766,2.352508068084717,6.751140594482422,4.26646614074707,3.8321664333343506,10.834185794200122,gpt2,layer_count,3
T4/test/28,T4,0,5.777469635009766,2.352508068084717,6.751140594482422,4.26646614074707,3.8321664333343506,10.834185794200122,gpt2,layer_count,3
T4/test/29,T4,0,6.717336177825928,4.733720779418945,8.414783477783203,5.234398365020752,5.304727554321289,13.924020949090545,gpt2,layer_count,3
T4/test/3,T4,0,7.892695903778076,5.696913242340088,9.45045280456543,6.026832103729248,6.558206081390381,16.229396154635914,gpt2,layer_count,3
T4/test/4,T4,0,6.273745536804199,3.922405481338501,8.003694534301758,5.105149269104004,4.85352897644043,12.977810547391913,gpt2,layer_count,3
T4/test/5,T4,0,5.777469635009766,2.352508068084717,6.751140594482422,4.26646614074707,3.8321664333343506,10.834185794200122,gpt2,layer_count,3
T4/test/6,T4,0,5.777469635009766,2.352508068084717,6.751140594482422,4.26646614074707,3.8321664333343506,10.834185794200122,gpt2,layer_count,3
T4/test/7,T4,0,5.752109050750732,3.2225468158721924,7.299251079559326,4.627082347869873,4.497480392456055,11.763836694257538,gpt2,layer_count,3
T4/test/8,T4,0,6.717336177825928,4.733720779418945,8.414783477783203,5.234398365020752,5.304727554321289,13.924020949090545,gpt2,layer_count,3
T4/test/9,T4,0,4.431197166442871,1.3452585935592651,5.627895832061768,3.8817403316497803,2.92822265625,8.761326180145728,gpt2,layer_count,3
T5/test/0,T5,0,4.729676246643066,3.649672746658325,6.376420497894287,4.3470001220703125,3.466764211654663,10.356811820353572,gpt2,layer_count,3
T5/test/1,T5,0,5.075100421905518,2.307258129119873,6.1850504875183105,4.0663981437683105,4.204910755157471,10.176040596540833,gpt2,layer_count,3
T5/test/10,T5,0,5.401630878448486,1.965874195098877,6.062395095825195,4.679898262023926,4.983960151672363,10.795194223922133,gpt2,layer_count,3
T5/test/11,T5,0,7.070246696472168,3.1458663940429688,7.045641899108887,5.299610137939453,5.781129360198975,13.077968411879898,gpt2,layer_count,3
T5/test/12,T5,0,4.729676246643066,3.649672746658325,6.376420497894287,4.3470001220703125,3.466764211654663,10.356811820353572,gpt2,layer_count,3
T5/test/13,T5,0,5.421302318572998,1.9226659536361694,6.1202712059021,4.616663932800293,4.965644836425781,10.794262241689891,gpt2,layer_count,3
T5/test/14,T5,0,4.729676246643066,3.649672746658325,6.376420021057129,4.3470001220703125,3.466764211654663,10.356811526777305,gpt2,layer_count,3
T5/test/15,T5,0,4.729676246643066,3.649672746658325,6.376420497894287,4.3470001220703125,3.466764211654663,10.356811820353572,gpt2,layer_count,3
T5/test/16,T5,0,5.401630878448486,1.965874195098877,6.062395095825195,4.679898262023926,4.983960151672363,10.795194223922133,gpt2,layer_count,3
T5/test/17,T5,0,7.070246696472168,3.1458663940429688,7.045642375946045,5.299610137939453,5.781129360198975,13.077968668771781,gpt2,layer_count,3
T5/test/18,T5,0,5.075100421905518,2.307258129119873,6.1850504875183105,4.0663981437683105,4.204910755157471,10.176040596540833,gpt2,layer_count,3
T5/test/19,T5,0,5.066844463348389,2.5092215538024902,6.010225772857666,4.682133197784424,4.156839370727539,10.358262610031629,gpt2,layer_count,3
T5/test/2,T5,0,5.075100421905518,2.307258129119873,6.1850504875183105,4.0663981437683105,4.204910755157471,10.176040596540833,gpt2,layer_count,3
T5/test/20,T5,0,5.401630878448486,1.965874195098877,6.062395095825195,4.679898262023926,4.983960151672363,10.795194223922133,gpt2,layer_count,3
T5/test/21,T5,0,5.421302318572998,1.9226659536361694,6.1202712059021,4.616663932800293,4.965644836425781,10.794262241689891,gpt2,layer_count,3
T5/test/22,T5,0,7.070246696472168,3.1458663940429688,7.045641899108887,5.299610137939453,5.781129360198975,13.077968411879898,gpt2,layer_count,3
T5/test/23,T5,0,5.075100421905518,2.307258129119873,6.1850504875183105,4.0663981437683105,4.204910755157471,10.176040596540833,gpt2,layer_count,3
T5/test/24,T5,0,5.075100421905518,2.307258129119873,6.1850504875183105,4.0663981437683105,4.204910755157471,10.176040596540833,gpt2,layer_count,3
T5/test/25,T5,0,5.066844463348389,2.5092215538024902,6.010225296020508,4.682133197784424,4.156839370727539,10.35826233335406,gpt2,layer_count,3
T5/test/26,T5,0,5.401630878448486,1.965874195098877,6.062395095825195,4.679898262023926,4.983960151672363,10.795194223922133,gpt2,layer_count,3
