permutation,layer,mean_attention
111,pos,0.018332336
112,min,0.01833031
112,nar,0.018431148
112,soc,0.018662771
112,mor,0.018400364
112,pos,0.018590841
113,min,0.018786583
113,nar,0.018327534
113,soc,0.018449714
113,mor,0.01826847
113,pos,0.018542767
114,min,0.018535921
114,nar,0.018096814
114,soc,0.018588884
114,mor,0.01845681
114,pos,0.018537896
115,min,0.018446198
115,nar,0.018317342
115,soc,0.018464072
115,mor,0.018543202
115,pos,0.018559184
116,min,0.018450668
116,nar,0.018248558
116,soc,0.018611286
116,mor,0.018654957
116,pos,0.018309256
117,min,0.018251045
117,nar,0.018764416
117,soc,0.018795712
117,mor,0.018456262
117,pos,0.018330455
118,min,0.018329892
118,nar,0.0188454
118,soc,0.018454432
118,mor,0.018622223
118,pos,0.018368509
119,min,0.018353326
119,nar,0.018749634
119,soc,0.018554756
119,mor,0.018506594
119,pos,0.018417941
120,min,0.018397152
120,nar,0.018250605
120,soc,0.018639343
120,mor,0.018418148
120,pos,0.018604478
121,min,0.018367264
121,nar,0.01804763
121,soc,0.018750373
121,mor,0.0186304
121,pos,0.01836775
122,min,0.018089933
122,nar,0.018789172
122,soc,0.0187076
122,mor,0.01851425
122,pos,0.018502798
123,min,0.018338025
123,nar,0.018759966
123,soc,0.018538952
123,mor,0.018678572
123,pos,0.018248072
124,min,0.01837905
124,nar,0.018527657
124,soc,0.018445756
124,mor,0.018661916
124,pos,0.01841884
125,min,0.01856104
125,nar,0.018317342
125,soc,0.01831902
125,mor,0.01855674
125,pos,0.018573923
126,min,0.018240783
126,nar,0.018398365
126,soc,0.01874314
126,mor,0.018401574
126,pos,0.018612666
127,min,0.01859608
127,nar,0.018580189
127,soc,0.018537061
127,mor,0.01853919
127,pos,0.01822825
128,min,0.01828736
128,nar,0.018415889
128,soc,0.018581543
128,mor,0.018526208
128,pos,0.018577738
129,min,0.018320842
129,nar,0.018458894
129,soc,0.018588271
129,mor,0.018642157
129,pos,0.018386586
130,min,0.0183754
130,nar,0.018671632
130,soc,0.018518414
130,mor,0.0185951
130,pos,0.01836449
131,min,0.01848754
131,nar,0.01867652
131,soc,0.01838335
131,mor,0.01842051
131,pos,0.018584851
132,min,0.018543651
132,nar,0.018747082
132,soc,0.018436909
132,mor,0.018376581
132,pos,0.018495142
133,min,0.018626349
133,nar,0.018249353
133,soc,0.018521199
133,mor,0.018322997
133,pos,0.018602708
134,min,0.018351631
134,nar,0.01848799
134,soc,0.01834057
134,mor,0.01866071
134,pos,0.018569823
135,min,0.018241499
135,nar,0.018521586
135,soc,0.018442018
135,mor,0.018662542
135,pos,0.018562015
136,min,0.018549433
136,nar,0.018216928
136,soc,0.0183599
136,mor,0.018536374
136,pos,0.018610958
137,min,0.018428167
137,nar,0.018164298
137,soc,0.01835365
137,mor,0.01862283
137,pos,0.018662224
138,min,0.018492213
138,nar,0.018237352
138,soc,0.018593056
138,mor,0.018298618
138,pos,0.01869799
139,min,0.018610802
139,nar,0.018790236
139,soc,0.018244019
139,mor,0.018578894
139,pos,0.018371174
140,min,0.018560257
140,nar,0.018449148
140,soc,0.018120153
140,mor,0.018701475
140,pos,0.018551674
141,min,0.018614696
141,nar,0.018814167
141,soc,0.01836242
141,mor,0.018499434
141,pos,0.018329432
142,min,0.018709898
142,nar,0.018140694
142,soc,0.01842216
142,mor,0.018466141
142,pos,0.018501172
143,min,0.018707987
143,nar,0.01818774
143,soc,0.01853375
143,mor,0.018499821
143,pos,0.018332839
144,min,0.018516557
144,nar,0.018481651
144,soc,0.018491192
144,mor,0.018611174
144,pos,0.018313603
145,min,0.018459627
145,nar,0.018908104
145,soc,0.018676294
145,mor,0.01844038
145,pos,0.01819786
146,min,0.018219236
146,nar,0.018211663
146,soc,0.018712385
146,mor,0.018559635
146,pos,0.018564343
147,min,0.018539598
147,nar,0.018674493
147,soc,0.018383013
147,mor,0.018471316
147,pos,0.018475933
148,min,0.018471697
148,nar,0.01836749
148,soc,0.018518005
148,mor,0.018359512
148,pos,0.018668192
149,min,0.018277096
149,nar,0.01880014
149,soc,0.018537214
149,mor,0.018501312
149,pos,0.018496105
150,min,0.018682191
150,nar,0.018589377
150,soc,0.018305209
150,mor,0.018530235
150,pos,0.018380288
151,min,0.018685285
151,nar,0.01856508
151,soc,0.01842131
151,mor,0.01834239
151,pos,0.018486185
152,min,0.018496122
152,nar,0.017899374
152,soc,0.018478973
152,mor,0.018508375
152,pos,0.018713292
153,min,0.018309245
153,nar,0.018392166
153,soc,0.01865938
153,mor,0.01839481
153,pos,0.018638356
154,min,0.01860206
154,nar,0.018390635
154,soc,0.018645797
154,mor,0.018282436
154,pos,0.018488202
155,min,0.018623868
155,nar,0.01858604
155,soc,0.018614905
155,mor,0.01831048
155,pos,0.018381493
156,min,0.018717984
156,nar,0.017832955
156,soc,0.018537674
156,mor,0.018549114
156,pos,0.018414633
157,min,0.018543443
157,nar,0.01830089
157,soc,0.01822308
157,mor,0.018626109
157,pos,0.018615229
158,min,0.01855887
158,nar,0.018211046
158,soc,0.018329766
158,mor,0.018584754
158,pos,0.018578887
159,min,0.018402133
159,nar,0.018905202
159,soc,0.018439267
159,mor,0.018440455
159,pos,0.018493537
160,min,0.01845491
160,nar,0.01847589
160,soc,0.018383307
160,mor,0.018532101
160,pos,0.018575976
161,min,0.018426528
161,nar,0.018408855
161,soc,0.018290069
161,mor,0.01854616
161,pos,0.018710256
162,min,0.0187155
162,nar,0.018277943
162,soc,0.018451938
162,mor,0.018604126
162,pos,0.018249273
163,min,0.018575804
163,nar,0.018555561
163,soc,0.018660787
163,mor,0.018645406
163,pos,0.018013963
164,min,0.018538373
164,nar,0.018473536
164,soc,0.018573012
164,mor,0.018486775
164,pos,0.018355617
165,min,0.018497203
165,nar,0.018826634
165,soc,0.01845375
165,mor,0.018558443
165,pos,0.018282814
166,min,0.01839894
166,nar,0.018557986
166,soc,0.018561035
166,mor,0.018554464
166,pos,0.018393474
167,min,0.018496837
167,nar,0.018344363
167,soc,0.01839042
167,mor,0.01838287
167,pos,0.018753853
168,min,0.018413961
168,nar,0.018710693
168,soc,0.01827733
168,mor,0.018596869
168,pos,0.01854825
169,min,0.018645559
169,nar,0.018157065
169,soc,0.018428836
169,mor,0.018458579
169,pos,0.01856046
170,min,0.018507166
170,nar,0.018343369
170,soc,0.018358108
170,mor,0.018522121
170,pos,0.01861712
171,min,0.018479466
171,nar,0.018465498
171,soc,0.018369658
171,mor,0.018854797
171,pos,0.018200725
172,min,0.018321421
172,nar,0.018553495
172,soc,0.018450916
172,mor,0.01840061
172,pos,0.018758873
173,min,0.018555572
173,nar,0.018773794
173,soc,0.01866545
173,mor,0.018325742
173,pos,0.018301334
174,min,0.018566519
174,nar,0.01810042
174,soc,0.018475235
174,mor,0.018544033
174,pos,0.018519716
175,min,0.018373774
175,nar,0.018492302
175,soc,0.018382737
175,mor,0.018606491
175,pos,0.018565629
176,min,0.01824068
176,nar,0.018838516
176,soc,0.018435614
176,mor,0.018623747
176,pos,0.018477747
177,min,0.018706253
