conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total
T5/test/11,T5,12,22.258054733276367,14.034488677978516,22.330516815185547,23.75278091430664,22.2529296875,47.43866919544631
T5/test/12,T5,12,18.975072860717773,9.787246704101562,18.96384620666504,20.537399291992188,18.92879295349121,39.9443991495854
T5/test/13,T5,12,20.880760192871094,12.189298629760742,20.905004501342773,22.33474349975586,20.826526641845703,44.20621381301767
T5/test/14,T5,12,18.975072860717773,9.787246704101562,18.96384620666504,20.537399291992188,18.92879295349121,39.9443991495854
T5/test/15,T5,12,18.975074768066406,9.787246704101562,18.96384620666504,20.537399291992188,18.92879295349121,39.94440005564686
T5/test/16,T5,12,21.683637619018555,13.271782875061035,21.75156021118164,23.221635818481445,21.69903564453125,46.1469744477919
T5/test/17,T5,12,22.258054733276367,14.034488677978516,22.330516815185547,23.75278091430664,22.2529296875,47.43866919544631
T5/test/18,T5,12,21.32387351989746,12.844271659851074,21.43961524963379,22.887739181518555,21.320579528808594,45.36249237754071
T5/test/19,T5,12,21.654481887817383,13.194680213928223,21.684181213378906,23.13200569152832,21.571990966796875,45.9745621866784
T5/test/2,T5,12,21.32387351989746,12.844271659851074,21.43961524963379,22.887739181518555,21.320579528808594,45.36249237754071
T5/test/20,T5,12,21.683635711669922,13.271782875061035,21.751558303833008,23.221635818481445,21.69903564453125,46.14697265252657
T5/test/21,T5,12,20.880762100219727,12.189298629760742,20.905004501342773,22.33474349975586,20.826526641845703,44.206214713951894
T5/test/22,T5,12,22.258054733276367,14.034488677978516,22.330516815185547,23.75278091430664,22.2529296875,47.43866919544631
T5/test/23,T5,12,21.32387351989746,12.844271659851074,21.43961524963379,22.887739181518555,21.320579528808594,45.36249237754071
T5/test/24,T5,12,21.32387351989746,12.844271659851074,21.43961524963379,22.887739181518555,21.320579528808594,45.36249237754071
T5/test/25,T5,12,21.654481887817383,13.194680213928223,21.684181213378906,23.13200569152832,21.571990966796875,45.9745621866784
T5/test/26,T5,12,21.683635711669922,13.271782875061035,21.751558303833008,23.221637725830078,21.69903564453125,46.14697361232424
T5/test/27,T5,12,18.975072860717773,9.787246704101562,18.96384620666504,20.537399291992188,18.92879295349121,39.9443991495854
T5/test/28,T5,12,18.975074768066406,9.787246704101562,18.96384620666504,20.537399291992188,18.92879295349121,39.94440005564686
T5/test/29,T5,12,20.880762100219727,12.189298629760742,20.905004501342773,22.33474349975586,20.826526641845703,44.206214713951894
T5/test/3,T5,12,21.654481887817383,13.194680213928223,21.684181213378906,23.13200569152832,21.571990966796875,45.9745621866784
T5/test/4,T5,12,21.683637619018555,13.271782875061035,21.75156021118164,23.221635818481445,21.69903564453125,46.1469744477919
T5/test/5,T5,12,18.975074768066406,9.787246704101562,18.96384620666504,20.537399291992188,18.92879295349121,39.94440005564686
T5/test/6,T5,12,18.975072860717773,9.787246704101562,18.96384620666504,20.537399291992188,18.92879295349121,39.9443991495854
T5/test/7,T5,12,21.32387351989746,12.844271659851074,21.43961524963379,22.887739181518555,21.320579528808594,45.36249237754071
T5/test/8,T5,12,20.880760192871094,12.189298629760742,20.905004501342773,22.334741592407227,20.826526641845703,44.20621284934905
T5/test/9,T5,12,22.258054733276367,14.034488677978516,22.330516815185547,23.75278091430664,22.2529296875,47.43866919544631
T0/test/0,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
T0/test/1,T0,13,22.673858642578125,13.838973999023438,22.682659149169922,24.15766143798828,22.689701080322266,48.15121218031304
T0/test/10,T0,13,22.99867057800293,14.139113426208496,22.98933982849121,24.434772491455078,22.95180320739746,48.79760752091038
T0/test/11,T0,13,22.66526222229004,13.788640022277832,22.672149658203125,24.138328552246094,22.648330688476562,48.098574445235464
T0/test/12,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
